FEN,Eval
gk3/5/5/5/[] w,-10343
g+p3/5/5/5/[] w,-683
g+s3/5/5/5/[] w,-668
g+r3/5/5/5/[] w,-1103
g+b3/5/5/5/[] w,-1063
sP3/5/5/5/[] w,-190
sG3/5/5/5/[] w,63
sS3/5/5/5/[] w,10
sR3/5/5/5/[] w,184
sB3/5/5/5/[] w,136
sK3/5/5/5/[] w,9710
s+P3/5/5/5/[] w,50
s+S3/5/5/5/[] w,35
s+R3/5/5/5/[] w,474
s+B3/5/5/5/[] w,430
sp3/5/5/5/[] w,-385
sg3/5/5/5/[] w,-643
ss3/5/5/5/[] w,-590
sr3/5/5/5/[] w,-760
sb3/5/5/5/[] w,-716
sk3/5/5/5/[] w,-10290
s+p3/5/5/5/[] w,-630
s+s3/5/5/5/[] w,-615
s+r3/5/5/5/[] w,-1050
s+b3/5/5/5/[] w,-1010
rP3/5/5/5/[] w,-372
rG3/5/5/5/[] w,-119
rS3/5/5/5/[] w,-172
rR3/5/5/5/[] w,2
rB3/5/5/5/[] w,-46
rK3/5/5/5/[] w,9528
r+P3/5/5/5/[] w,-132
r+S3/5/5/5/[] w,-147
r+R3/5/5/5/[] w,292
r+B3/5/5/5/[] w,248
rp3/5/5/5/[] w,-567
rg3/5/5/5/[] w,-825
rs3/5/5/5/[] w,-772
rr3/5/5/5/[] w,-942
rb3/5/5/5/[] w,-898
rk3/5/5/5/[] w,-10472
r+p3/5/5/5/[] w,-812
r+s3/5/5/5/[] w,-797
r+r3/5/5/5/[] w,-1232
r+b3/5/5/5/[] w,-1192
bP3/5/5/5/[] w,-317
bG3/5/5/5/[] w,-64
bS3/5/5/5/[] w,-117
bR3/5/5/5/[] w,57
bB3/5/5/5/[] w,9
bK3/5/5/5/[] w,9583
b+P3/5/5/5/[] w,-77
b+S3/5/5/5/[] w,-92
b+R3/5/5/5/[] w,347
b+B3/5/5/5/[] w,303
bp3/5/5/5/[] w,-512
bg3/5/5/5/[] w,-770
bs3/5/5/5/[] w,-717
br3/5/5/5/[] w,-887
bb3/5/5/5/[] w,-843
bk3/5/5/5/[] w,-10417
b+p3/5/5/5/[] w,-757
b+s3/5/5/5/[] w,-742
b+r3/5/5/5/[] w,-1177
b+b3/5/5/5/[] w,-1137
kP3/5/5/5/[] w,-9886
kG3/5/5/5/[] w,-9633
kS3/5/5/5/[] w,-9686
kR3/5/5/5/[] w,-9512
kB3/5/5/5/[] w,-9560
kK3/5/5/5/[] w,14
k+P3/5/5/5/[] w,-9646
k+S3/5/5/5/[] w,-9661
k+R3/5/5/5/[] w,-9222
k+B3/5/5/5/[] w,-9266
kp3/5/5/5/[] w,-10081
kg3/5/5/5/[] w,-10339
ks3/5/5/5/[] w,-10286
kr3/5/5/5/[] w,-10456
kb3/5/5/5/[] w,-10412
kk3/5/5/5/[] w,-19986
k+p3/5/5/5/[] w,-10326
k+s3/5/5/5/[] w,-10311
k+r3/5/5/5/[] w,-10746
k+b3/5/5/5/[] w,-10706
+pP3/5/5/5/[] w,-230
